CALENDAR_YEAR,COC_ID,COC_NAME,ETHNICITY,EXPERIENCING_HOMELESSNESS
2019,CA-529,Lake County CoC,Not Hispanic/Latinx,199
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Hispanic/Latinx,42
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Not Hispanic/Latinx,111
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Unknown,*
2019,CA-531,Nevada County CoC,Hispanic/Latinx,46
2019,CA-531,Nevada County CoC,Not Hispanic/Latinx,558
2019,CA-531,Nevada County CoC,Unknown,*
2019,CA-600,Los Angeles County CoC,Hispanic/Latinx,28907
2019,CA-600,Los Angeles County CoC,Not Hispanic/Latinx,54215
2019,CA-600,Los Angeles County CoC,Unknown,3050
2019,CA-601,San Diego County CoC,Hispanic/Latinx,4759
2019,CA-601,San Diego County CoC,Not Hispanic/Latinx,10927
2019,CA-601,San Diego County CoC,Unknown,461
2019,CA-602,Orange County CoC,Hispanic/Latinx,5092
2019,CA-602,Orange County CoC,Not Hispanic/Latinx,7253
2019,CA-602,Orange County CoC,Unknown,61
2019,CA-603,Santa Barbara County CoC,Hispanic/Latinx,1151
2019,CA-603,Santa Barbara County CoC,Not Hispanic/Latinx,1588
2019,CA-603,Santa Barbara County CoC,Unknown,46
2019,CA-604,Kern County CoC,Hispanic/Latinx,1868
2019,CA-604,Kern County CoC,Not Hispanic/Latinx,3250
2019,CA-604,Kern County CoC,Unknown,*
2019,CA-606,Long Beach CoC (Los Angeles County),Hispanic/Latinx,766
2019,CA-606,Long Beach CoC (Los Angeles County),Not Hispanic/Latinx,2409
2019,CA-606,Long Beach CoC (Los Angeles County),Unknown,60
2019,CA-607,Pasadena CoC (Los Angeles County),Hispanic/Latinx,425
2019,CA-607,Pasadena CoC (Los Angeles County),Not Hispanic/Latinx,659
2019,CA-607,Pasadena CoC (Los Angeles County),Unknown,15
2019,CA-608,Riverside County CoC,Hispanic/Latinx,3059
2019,CA-608,Riverside County CoC,Not Hispanic/Latinx,4910
2019,CA-608,Riverside County CoC,Unknown,20
2019,CA-609,San Bernardino County CoC,Hispanic/Latinx,2821
2019,CA-609,San Bernardino County CoC,Not Hispanic/Latinx,5213
2019,CA-609,San Bernardino County CoC,Unknown,*
2019,CA-611,Ventura County CoC,Hispanic/Latinx,1123
2019,CA-611,Ventura County CoC,Not Hispanic/Latinx,915
2019,CA-611,Ventura County CoC,Unknown,*
2019,CA-612,Glendale CoC (Los Angeles County),Hispanic/Latinx,178
2019,CA-612,Glendale CoC (Los Angeles County),Not Hispanic/Latinx,260
2019,CA-613,Imperial County CoC,Hispanic/Latinx,704
2019,CA-613,Imperial County CoC,Not Hispanic/Latinx,105
2019,CA-613,Imperial County CoC,Unknown,20
2019,CA-614,San Luis Obispo County CoC,Hispanic/Latinx,615
2019,CA-614,San Luis Obispo County CoC,Not Hispanic/Latinx,1404
2019,CA-614,San Luis Obispo County CoC,Unknown,25
2020,All,California,Hispanic/Latinx,88335
2020,All,California,Not Hispanic/Latinx,159546
2020,All,California,Unknown,7597
2020,CA-500,Santa Clara County CoC,Hispanic/Latinx,7017
2020,CA-500,Santa Clara County CoC,Not Hispanic/Latinx,6129
2020,CA-500,Santa Clara County CoC,Unknown,207
2020,CA-501,San Francisco CoC,Hispanic/Latinx,3054
2020,CA-501,San Francisco CoC,Not Hispanic/Latinx,8221
2020,CA-501,San Francisco CoC,Unknown,308
2020,CA-502,Alameda County CoC,Hispanic/Latinx,1833
2020,CA-502,Alameda County CoC,Not Hispanic/Latinx,7216
2020,CA-502,Alameda County CoC,Unknown,37
2020,CA-503,Sacramento County CoC,Hispanic/Latinx,1819
2020,CA-503,Sacramento County CoC,Not Hispanic/Latinx,7970
2020,CA-503,Sacramento County CoC,Unknown,106
2020,CA-504,Sonoma County CoC,Hispanic/Latinx,932
2020,CA-504,Sonoma County CoC,Not Hispanic/Latinx,2841
2020,CA-504,Sonoma County CoC,Unknown,49
2020,CA-505,Contra Costa County CoC,Hispanic/Latinx,1236
2020,CA-505,Contra Costa County CoC,Not Hispanic/Latinx,4714
2020,CA-505,Contra Costa County CoC,Unknown,153
2020,CA-506,"Monterey, San Benito Counties CoC",Hispanic/Latinx,947
2020,CA-506,"Monterey, San Benito Counties CoC",Not Hispanic/Latinx,727
2020,CA-506,"Monterey, San Benito Counties CoC",Unknown,15
2020,CA-507,Marin County CoC,Hispanic/Latinx,306
2020,CA-507,Marin County CoC,Not Hispanic/Latinx,794
2020,CA-507,Marin County CoC,Unknown,15
2020,CA-508,Santa Cruz County CoC,Hispanic/Latinx,1180
2020,CA-508,Santa Cruz County CoC,Not Hispanic/Latinx,1340
2020,CA-508,Santa Cruz County CoC,Unknown,100
2020,CA-509,Mendocino County CoC,Hispanic/Latinx,184
2020,CA-509,Mendocino County CoC,Not Hispanic/Latinx,776
2020,CA-509,Mendocino County CoC,Unknown,14
2020,CA-510,Stanislaus County CoC,Hispanic/Latinx,1908
2020,CA-510,Stanislaus County CoC,Not Hispanic/Latinx,2905
2020,CA-510,Stanislaus County CoC,Unknown,*
2020,CA-511,San Joaquin County CoC,Hispanic/Latinx,2648
2020,CA-511,San Joaquin County CoC,Not Hispanic/Latinx,5026
2020,CA-511,San Joaquin County CoC,Unknown,51
2020,CA-512,San Mateo County CoC,Hispanic/Latinx,1482
2020,CA-512,San Mateo County CoC,Not Hispanic/Latinx,2866
2020,CA-512,San Mateo County CoC,Unknown,38
