CALENDAR_YEAR,COC_ID,COC_NAME,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,All,California,Unknown,9485
2018,CA-500,Santa Clara County CoC,18-24,884
2018,CA-500,Santa Clara County CoC,25-34,1619
2018,CA-500,Santa Clara County CoC,35-44,1567
2018,CA-500,Santa Clara County CoC,45-54,1777
2018,CA-500,Santa Clara County CoC,55-64,1714
2018,CA-500,Santa Clara County CoC,65+,539
2018,CA-500,Santa Clara County CoC,Under 18,2554
2018,CA-500,Santa Clara County CoC,Unknown,145
2018,CA-501,San Francisco CoC,18-24,620
2018,CA-501,San Francisco CoC,25-34,806
2018,CA-501,San Francisco CoC,35-44,748
2018,CA-501,San Francisco CoC,45-54,724
2018,CA-501,San Francisco CoC,55-64,592
2018,CA-501,San Francisco CoC,65+,206
2018,CA-501,San Francisco CoC,Under 18,1914
2018,CA-501,San Francisco CoC,Unknown,165
2018,CA-502,Alameda County CoC,18-24,693
2018,CA-502,Alameda County CoC,25-34,927
2018,CA-502,Alameda County CoC,35-44,826
2018,CA-502,Alameda County CoC,45-54,948
2018,CA-502,Alameda County CoC,55-64,934
2018,CA-502,Alameda County CoC,65+,344
2018,CA-502,Alameda County CoC,Under 18,1810
2018,CA-502,Alameda County CoC,Unknown,117
2018,CA-503,Sacramento County CoC,18-24,976
2018,CA-503,Sacramento County CoC,25-34,1506
2018,CA-503,Sacramento County CoC,35-44,1447
2018,CA-503,Sacramento County CoC,45-54,1493
2018,CA-503,Sacramento County CoC,55-64,1178
2018,CA-503,Sacramento County CoC,65+,316
2018,CA-503,Sacramento County CoC,Under 18,3859
2018,CA-503,Sacramento County CoC,Unknown,177
2018,CA-504,Sonoma County CoC,18-24,284
2018,CA-504,Sonoma County CoC,25-34,466
2018,CA-504,Sonoma County CoC,35-44,501
2018,CA-504,Sonoma County CoC,45-54,516
2018,CA-504,Sonoma County CoC,55-64,509
2018,CA-504,Sonoma County CoC,65+,201
2018,CA-504,Sonoma County CoC,Under 18,770
2018,CA-504,Sonoma County CoC,Unknown,42
2018,CA-505,Contra Costa County CoC,18-24,362
2018,CA-505,Contra Costa County CoC,25-34,954
2018,CA-505,Contra Costa County CoC,35-44,875
2018,CA-505,Contra Costa County CoC,45-54,947
2018,CA-505,Contra Costa County CoC,55-64,917
2018,CA-505,Contra Costa County CoC,65+,335
