Year,County,Sex,Number of Consumers,Annotation Code,Count Annotation Desc,Percent,Percent Annotation Desc
2017,Contra Costa ,Male,"1,334",,,,
2017,Contra Costa ,Not Reported ,1,,,,
2017,Del Norte,Female,98,,,,
2017,Del Norte,Male,104,,,,
2017,El Dorado,Female,152,,,,
2017,El Dorado,Male,192,,,,
2017,Fresno,Female,"1,085",,,,
2017,Fresno,Male,"1,454",,,,
2017,Fresno,Not Reported ,5,,,,
2017,Glenn,Female,77,,,,
2017,Glenn,Male,111,,,,
2017,Humboldt,Female,311,,,,
2017,Humboldt,Male,326,,,,
2017,Humboldt,Not Reported ,2,,,,
2017,Imperial,Female,450,,,,
2017,Imperial,Male,576,,,,
2017,Inyo,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Inyo,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Kern,Female,776,,,,
2017,Kern,Male,990,,,,
2017,Kern,Not Reported ,2,,,,
2017,Kings,Female,136,,,,
2017,Kings,Male,163,,,,
2017,Lake,Female,78,,,,
2017,Lake,Male,77,,,,
2017,Lassen,Female,75,,,,
2017,Lassen,Male,106,,,,
2017,Los Angeles,Female,"12,449",,,,
2017,Los Angeles,Male,"17,974",,,,
2017,Los Angeles,Not Reported ,17,,,,
2017,Madera,Female,74,,,,
2017,Madera,Male,122,,,,
2017,Marin,Female,192,,,,
2017,Marin,Male,241,,,,
2017,Marin,Not Reported ,3,,,,
2017,Mariposa,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Mariposa,Male,11,,,,
2017,Mendocino,Female,226,,,,
2017,Mendocino,Male,359,,,,
2017,Mendocino,Not Reported ,2,,,,
2017,Merced,Female,403,,,,
2017,Merced,Male,443,,,,
2017,Modoc,Female,13,,,,
2017,Modoc,Male,31,,,,
2017,Modoc,Not Reported ,1,,,,
2017,Mono,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Monterey,Female,501,,,,
2017,Monterey,Male,579,,,,
2017,Monterey,Not Reported ,1,,,,
2017,Napa,Female,216,,,,
2017,Napa,Male,255,,,,
2017,Nevada,Female,121,,,,
2017,Nevada,Male,167,,,,
2017,Not Reported,Female,50,,,,
2017,Not Reported,Male,72,,,,
2017,Not Reported,Not Reported ,214,,,,
2017,Orange,Female,"2,643",,,,
2017,Orange,Male,"4,027",,,,
2017,Orange,Not Reported ,6,,,,
2017,Out of State,Female,147,,,,
2017,Out of State,Male,116,,,,
2017,Placer,Female,565,,,,
2017,Placer,Male,630,,,,
2017,Placer,Not Reported ,5,,,,
2017,Plumas,Female,64,,,,
2017,Plumas,Male,23,,,,
2017,Riverside,Female,"1,967",,,,
2017,Riverside,Male,"2,473",,,,
2017,Riverside,Not Reported ,2,,,,
2017,Sacramento,Female,"1,984",,,,
2017,Sacramento,Male,"2,259",,,,
2017,Sacramento,Not Reported ,4,,,,
2017,San Benito,Female,84,,,,
2017,San Benito,Male,108,,,,
2017,San Bernardino,Female,"2,453",,,,
2017,San Bernardino,Male,"3,155",,,,
2017,San Bernardino,Not Reported ,1,,,,
2017,San Diego,Female,"3,418",,,,
2017,San Diego,Male,"4,653",,,,
2017,San Diego,Not Reported ,4,,,,
2017,San Francisco,Female,746,,,,
2017,San Francisco,Male,"1,451",,,,
2017,San Francisco,Not Reported ,7,,,,
2017,San Joaquin,Female,573,,,,
2017,San Joaquin,Male,639,,,,
2017,San Joaquin,Not Reported ,2,,,,
2017,San Luis Obispo,Female,393,,,,
2017,San Luis Obispo,Male,573,,,,
2017,San Mateo,Female,629,,,,
2017,San Mateo,Male,969,,,,
2017,San Mateo,Not Reported ,3,,,,
2017,Santa Barbara,Female,886,,,,
2017,Santa Barbara,Male,"1,018",,,,
2017,Santa Barbara,Not Reported ,4,,,,
2017,Santa Clara,Female,997,,,,
2017,Santa Clara,Male,"1,300",,,,
2017,Santa Clara,Not Reported ,4,,,,
2017,Santa Cruz,Female,340,,,,
2017,Santa Cruz,Male,381,,,,
2017,Santa Cruz,Not Reported ,1,,,,
2017,Shasta,Female,269,,,,
2017,Shasta,Male,350,,,,
2017,Sierra,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Sierra,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Siskiyou,Female,94,,,,
2017,Siskiyou,Male,115,,,,
2017,Solano,Female,720,,,,
2017,Solano,Male,874,,,,
2017,Solano,Not Reported ,1,,,,
2017,Sonoma,Female,844,,,,
2017,Sonoma,Male,879,,,,
2017,Sonoma,Not Reported ,2,,,,
2017,Stanislaus,Female,377,,,,
2017,Stanislaus,Male,467,,,,
2017,Sutter,Female,85,,,,
2017,Sutter,Male,75,,,,
2017,Sutter,Not Reported ,3,,,,
2017,Tehama,Female,150,,,,
2017,Tehama,Male,135,,,,
2017,Trinity,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Trinity,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Tulare,Female,545,,,,
2017,Tulare,Male,572,,,,
2017,Tuolumne,Female,36,,,,
2017,Tuolumne,Male,51,,,,
2017,Ventura,Female,"1,357",,,,
2017,Ventura,Male,"1,516",,,,
2017,Ventura,Not Reported ,5,,,,
2017,Yolo,Female,228,,,,
2017,Yolo,Male,270,,,,
2017,Yolo,Not Reported ,1,,,,
2017,Yuba,Female,86,,,,
2017,Yuba,Male,124,,,,
2017,Yuba,Not Reported ,1,,,,
