County,Population,Total Housing Units,Year,Units Overcrowded,Units Severely Overcrowded,Units Income < 50K,Units Costs >= 30%
San Benito County,61547.0,18389.0,2020,900.0,515.0,17978.0,7379.0
San Bernardino County,2162532.0,640090.0,2020,40278.0,16011.0,624867.0,255121.0
San Diego County,3323970.0,1130703.0,2020,51003.0,26183.0,1104971.0,475089.0
San Francisco County,874784.0,362141.0,2020,9451.0,14633.0,352449.0,119291.0
San Joaquin County,751615.0,231092.0,2020,13078.0,5155.0,225061.0,88144.0
San Luis Obispo County,282517.0,106244.0,2020,2266.0,1015.0,103466.0,41235.0
San Mateo County,765623.0,263351.0,2020,11700.0,8284.0,258428.0,95558.0
Santa Clara County,1924379.0,635314.0,2020,32337.0,19025.0,623291.0,221436.0
Santa Cruz County,273170.0,96275.0,2020,4016.0,2575.0,93749.0,38182.0
Sierra County,2898.0,1250.0,2020,14.0,0.0,1164.0,414.0
Solano County,444538.0,151191.0,2020,5630.0,2772.0,147801.0,54584.0
Sonoma County,496801.0,188958.0,2020,6658.0,2843.0,184118.0,73917.0
Sutter County,96315.0,32586.0,2020,1505.0,556.0,31548.0,10879.0
Tehama County,64176.0,24661.0,2020,620.0,408.0,23544.0,8851.0
Tulare County,463955.0,139044.0,2020,10898.0,3303.0,134283.0,52667.0
Tuolumne County,54147.0,22937.0,2020,493.0,68.0,22155.0,8775.0
Yolo County,218774.0,74614.0,2020,3185.0,1151.0,71717.0,26548.0
Yuba County,77524.0,26434.0,2020,951.0,268.0,25594.0,9683.0
Mono County,14395.0,5196.0,2020,216.0,0.0,5006.0,1999.0
Amador County,39023.0,14844.0,2020,304.0,77.0,14454.0,4771.0
Calaveras County,45828.0,16958.0,2020,213.0,102.0,16630.0,6900.0
Del Norte County,27692.0,9805.0,2020,322.0,73.0,9394.0,3158.0
Glenn County,28060.0,10216.0,2020,338.0,64.0,9651.0,3206.0
Inyo County,17930.0,7954.0,2020,110.0,43.0,7484.0,2081.0
Lake County,64276.0,25508.0,2020,616.0,351.0,24585.0,9097.0
Los Angeles County,10040682.0,3332504.0,2020,216688.0,157518.0,3233414.0,1516514.0
Santa Barbara County,444895.0,148309.0,2020,9610.0,5724.0,144259.0,60888.0
Shasta County,179267.0,70845.0,2020,1544.0,637.0,69039.0,25942.0
Siskiyou County,43516.0,19195.0,2020,464.0,177.0,18496.0,6191.0
Stanislaus County,546235.0,174826.0,2020,9269.0,3169.0,169557.0,64902.0
Trinity County,12541.0,5896.0,2020,212.0,51.0,5645.0,1994.0
Ventura County,845599.0,271639.0,2020,11506.0,5287.0,265201.0,109477.0
Alameda County,1673133.0,581683.0,2021,28978.0,15949.0,568630.0,212672.0
Alpine County,1344.0,434.0,2021,13.0,1.0,430.0,85.0
Amador County,40095.0,15394.0,2021,255.0,193.0,14865.0,5110.0
Butte County,217884.0,85292.0,2021,2151.0,841.0,81907.0,31194.0
Calaveras County,45349.0,16809.0,2021,234.0,130.0,16427.0,6743.0
Colusa County,21780.0,7303.0,2021,259.0,87.0,6917.0,2294.0
Contra Costa County,1161643.0,405106.0,2021,14159.0,7402.0,396707.0,148225.0
Del Norte County,27655.0,9531.0,2021,280.0,54.0,9175.0,2872.0
El Dorado County,190568.0,74535.0,2021,1155.0,492.0,73036.0,25730.0
Fresno County,1003150.0,314421.0,2021,17921.0,13545.0,303414.0,117094.0
Glenn County,28675.0,9753.0,2021,269.0,78.0,9236.0,3189.0
Humboldt County,137014.0,53729.0,2021,1517.0,908.0,51622.0,22300.0
Imperial County,180051.0,45541.0,2021,2539.0,1516.0,44321.0,17125.0
Inyo County,18804.0,7832.0,2021,105.0,45.0,7383.0,2167.0
Kern County,905644.0,274705.0,2021,18151.0,8205.0,265237.0,102069.0
Kings County,151887.0,43286.0,2021,2581.0,944.0,42049.0,14378.0
Lake County,67749.0,26307.0,2021,654.0,402.0,25374.0,9354.0
Lassen County,32949.0,8910.0,2021,150.0,28.0,8641.0,2515.0
Los Angeles County,10019635.0,3342811.0,2021,214942.0,157461.0,3241656.0,1516581.0
Madera County,156304.0,43578.0,2021,3408.0,1432.0,42035.0,15442.0
Marin County,262387.0,103751.0,2021,2893.0,1718.0,101336.0,39404.0
Mariposa County,17225.0,7588.0,2021,146.0,27.0,7295.0,2563.0
Mendocino County,91534.0,34183.0,2021,1111.0,532.0,32565.0,12842.0
Merced County,279150.0,81618.0,2021,4856.0,1913.0,77952.0,29186.0
Modoc County,8723.0,3413.0,2021,101.0,8.0,3160.0,671.0
Mono County,13291.0,5361.0,2021,208.0,0.0,5061.0,1790.0
Monterey County,438953.0,129977.0,2021,12554.0,5897.0,127318.0,53937.0
Napa County,138795.0,48745.0,2021,2220.0,767.0,47560.0,18088.0
Nevada County,102090.0,40877.0,2021,434.0,366.0,39920.0,16563.0
Orange County,3182923.0,1057592.0,2021,58031.0,33500.0,1030870.0,426221.0
Placer County,400330.0,149714.0,2021,2130.0,1008.0,146194.0,51152.0
Plumas County,19631.0,8231.0,2021,206.0,45.0,7900.0,2344.0
Riverside County,2409331.0,740506.0,2021,36800.0,15807.0,721397.0,295169.0
Sacramento County,1571767.0,559036.0,2021,21506.0,9705.0,546133.0,209155.0
San Benito County,63329.0,19144.0,2021,997.0,471.0,18680.0,7603.0
San Bernardino County,2171071.0,651743.0,2021,41023.0,16456.0,636446.0,256602.0
San Diego County,3296317.0,1139899.0,2021,51401.0,27582.0,1113537.0,481024.0
San Francisco County,865933.0,361222.0,2021,9818.0,14564.0,351574.0,119289.0
San Joaquin County,771406.0,234662.0,2021,14097.0,5490.0,228216.0,87676.0
San Luis Obispo County,282771.0,106790.0,2021,2422.0,1045.0,103792.0,41798.0
San Mateo County,762488.0,264892.0,2021,11328.0,8257.0,259749.0,94844.0
Santa Barbara County,447651.0,147446.0,2021,9250.0,6038.0,143557.0,60482.0
Santa Clara County,1932022.0,646847.0,2021,32328.0,18451.0,634442.0,221765.0
Santa Cruz County,272138.0,96476.0,2021,4172.0,2603.0,93886.0,37771.0
Shasta County,181935.0,71314.0,2021,1642.0,534.0,69397.0,25273.0
Sierra County,3079.0,1151.0,2021,22.0,0.0,1082.0,338.0
Siskiyou County,44151.0,18598.0,2021,498.0,160.0,17867.0,6078.0
Solano County,451432.0,153632.0,2021,5772.0,2837.0,150015.0,56470.0
Sonoma County,492498.0,188841.0,2021,6476.0,2881.0,184068.0,73997.0
Stanislaus County,550842.0,175067.0,2021,9335.0,3221.0,169908.0,63988.0
Sutter County,99080.0,32703.0,2021,1497.0,569.0,31606.0,11277.0
Tehama County,65345.0,24551.0,2021,623.0,362.0,23609.0,8415.0
Trinity County,15818.0,5492.0,2021,212.0,19.0,5207.0,1668.0
Tulare County,470999.0,139631.0,2021,10534.0,3377.0,134918.0,51559.0
Tuolumne County,55243.0,23103.0,2021,514.0,154.0,22452.0,8917.0
Ventura County,845255.0,274471.0,2021,11812.0,5578.0,267629.0,110881.0
Yolo County,216703.0,75471.0,2021,3444.0,1392.0,72788.0,27073.0
Yuba County,80404.0,26888.0,2021,1128.0,358.0,25933.0,9884.0
