Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
Sub-County Place,Onyx CDP,2021,Annual,200,200,0,19.7,N,Final
Sub-County Place,Orange city,2021,Annual,69200,65300,3900,5.6,N,Final
Sub-County Place,Orange Cove city,2021,Annual,3800,3300,500,13.3,N,Final
Sub-County Place,Orangevale CDP,2021,Annual,17000,16100,900,5.5,N,Final
Sub-County Place,Orcutt CDP,2021,Annual,14900,14200,600,4.2,N,Final
Sub-County Place,Orinda city,2021,Annual,8500,8200,300,3.6,N,Final
Sub-County Place,Orland city,2021,Annual,3520,3300,220,6.2,N,Final
Sub-County Place,Oroville city,2021,Annual,6700,6200,600,8.5,N,Final
Sub-County Place,Oroville East CDP,2021,Annual,2900,2600,200,7.8,N,Final
Sub-County Place,Oxnard city,2021,Annual,97600,90300,7300,7.5,N,Final
Sub-County Place,Pacheco CDP,2021,Annual,2900,2600,200,7.7,N,Final
Sub-County Place,Pacifica city,2021,Annual,23000,21900,1200,5.2,N,Final
Sub-County Place,Pacific Grove city,2021,Annual,7800,7200,600,8.3,N,Final
Sub-County Place,Pajaro CDP,2021,Annual,1600,1200,400,25.9,N,Final
Sub-County Place,Palermo CDP,2021,Annual,1900,1800,100,7.2,N,Final
Sub-County Place,Palmdale city,2021,Annual,62900,55100,7800,12.4,N,Final
Sub-County Place,Palm Desert city,2021,Annual,25100,23500,1700,6.7,N,Final
Sub-County Place,Palm Springs city,2021,Annual,23500,21900,1600,6.7,N,Final
Sub-County Place,Palo Alto city,2021,Annual,34700,33700,1100,3.1,N,Final
Sub-County Place,Palos Verdes Estates city,2021,Annual,5300,5100,200,4.2,N,Final
Sub-County Place,Paradise town,2021,Annual,1800,1600,100,8.2,N,Final
Sub-County Place,Paramount city,2021,Annual,24200,21700,2500,10.4,N,Final
Sub-County Place,Parksdale CDP,2021,Annual,1000,800,200,18.8,N,Final
Sub-County Place,Parkwood CDP,2021,Annual,1200,900,300,21.9,N,Final
Sub-County Place,Parlier city,2021,Annual,6400,6100,300,5.2,N,Final
Sub-County Place,Pasadena city,2021,Annual,77600,71900,5700,7.4,N,Final
Sub-County Place,Patterson city,2021,Annual,10600,9800,800,7.1,N,Final
Sub-County Place,Paxton CDP,2021,Annual,0,0,0,0,N,Final
Sub-County Place,Penn Valley CDP,2021,Annual,340,340,0,0,N,Final
